community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	iEC1356_Bl21DE3	iUMNK88_1353	M_pi_e	0.5	1.0	1	0.5
all	minimal	iECUMN_1333	iNRG857_1313	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iECUMN_1333	iNRG857_1313	M_cys__L_e	0.5	0.99	1	0.495
all	minimal	iECUMN_1333	iNRG857_1313	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iECUMN_1333	iNRG857_1313	M_glyc3p_e	0.5	0.01	1	0.005
all	minimal	iECUMN_1333	iNRG857_1313	M_nh4_e	0.5	0.01	1	0.005
all	minimal	iECUMN_1333	iNRG857_1313	M_pi_e	0.5	0.99	1	0.495
all	minimal	iECUMN_1333	iCN900	M_nh4_e	1.0	0.01	1	0.01
all	minimal	iECUMN_1333	iCN900	M_pi_e	1.0	0.99	1	0.99
all	minimal	iECUMN_1333	iUMNK88_1353	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iECUMN_1333	iUMNK88_1353	M_cys__L_e	0.5	0.99	1	0.495
all	minimal	iECUMN_1333	iUMNK88_1353	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iECUMN_1333	iUMNK88_1353	M_glyc3p_e	0.5	0.01	1	0.005
all	minimal	iECUMN_1333	iUMNK88_1353	M_nh4_e	0.5	0.01	1	0.005
all	minimal	iECUMN_1333	iUMNK88_1353	M_pi_e	0.5	0.99	1	0.495
all	minimal	iUMNK88_1353	iCN900	M_pi_e	1.0	1.0	1	1.0
all	minimal	iECSE_1348	iNRG857_1313	M_cu2_e	0.5	0.99	1	0.495
all	minimal	iECSE_1348	iNRG857_1313	M_cys__L_e	0.5	1.0	1	0.5
all	minimal	iECSE_1348	iNRG857_1313	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iECSE_1348	iNRG857_1313	M_g3pg_e	0.5	0.01	1	0.005
all	minimal	iECSE_1348	iNRG857_1313	M_nh4_e	0.5	0.01	1	0.005
all	minimal	iECSE_1348	iNRG857_1313	M_pi_e	0.5	0.99	1	0.495
all	minimal	iECSE_1348	iCN900	M_nh4_e	1.0	0.01	1	0.01
all	minimal	iECSE_1348	iCN900	M_pi_e	1.0	0.99	1	0.99
all	minimal	iECSE_1348	iUMNK88_1353	M_cu2_e	0.5	0.99	1	0.495
all	minimal	iECSE_1348	iUMNK88_1353	M_cys__L_e	0.5	1.0	1	0.5
all	minimal	iECSE_1348	iUMNK88_1353	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iECSE_1348	iUMNK88_1353	M_g3pg_e	0.5	0.01	1	0.005
all	minimal	iECSE_1348	iUMNK88_1353	M_nh4_e	0.5	0.01	1	0.005
all	minimal	iECSE_1348	iUMNK88_1353	M_pi_e	0.5	0.99	1	0.495
all	minimal	iETEC_1333	iNRG857_1313	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iNRG857_1313	M_cys__L_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iNRG857_1313	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iNRG857_1313	M_pi_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iCN900	M_pi_e	1.0	1.0	1	1.0
all	minimal	iETEC_1333	iUMNK88_1353	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iUMNK88_1353	M_cys__L_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iUMNK88_1353	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iUMNK88_1353	M_pi_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iNRG857_1313	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iNRG857_1313	M_cys__L_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iNRG857_1313	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iNRG857_1313	M_pi_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iCN900	M_pi_e	1.0	1.0	1	1.0
all	minimal	iUTI89_1310	iUMNK88_1353	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iUMNK88_1353	M_cys__L_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iUMNK88_1353	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iUMNK88_1353	M_pi_e	0.5	1.0	1	0.5
