community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	iCN900	iNRG857_1313	M_ins_e	0.5	0.03	1	0.015
all	minimal	iCN900	iNRG857_1313	M_lac__L_e	0.5	0.06	1	0.03
all	minimal	iCN900	iNRG857_1313	M_leu__L_e	0.5	1.0	1	0.5
all	minimal	iCN900	iNRG857_1313	M_lys__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_mal__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_nh4_e	0.5	0.09	1	0.045
all	minimal	iCN900	iNRG857_1313	M_pi_e	0.5	0.21	1	0.105
all	minimal	iCN900	iNRG857_1313	M_ser__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iNRG857_1313	M_thr__L_e	0.5	0.16	1	0.08
all	minimal	iCN900	iNRG857_1313	M_trp__L_e	0.5	1.0	1	0.5
all	minimal	iCN900	iNRG857_1313	M_uri_e	0.5	0.09	1	0.045
all	minimal	iCN900	iNRG857_1313	M_val__L_e	0.5	1.0	1	0.5
all	minimal	iCN900	iUMNK88_1353	M_ac_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_adn_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_akg_e	0.5	0.12	1	0.06
all	minimal	iCN900	iUMNK88_1353	M_ala__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_arg__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_asn__L_e	0.5	0.05	1	0.025
all	minimal	iCN900	iUMNK88_1353	M_asp__L_e	0.5	0.19	1	0.095
all	minimal	iCN900	iUMNK88_1353	M_cys__L_e	0.5	0.43	1	0.215
all	minimal	iCN900	iUMNK88_1353	M_etoh_e	0.5	0.23	1	0.115
all	minimal	iCN900	iUMNK88_1353	M_for_e	0.5	0.04	1	0.02
all	minimal	iCN900	iUMNK88_1353	M_glu__L_e	0.5	0.09	1	0.045
all	minimal	iCN900	iUMNK88_1353	M_gly_e	0.5	0.22	1	0.11
all	minimal	iCN900	iUMNK88_1353	M_glyc_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_gthrd_e	0.5	0.57	1	0.285
all	minimal	iCN900	iUMNK88_1353	M_h_e	0.5	0.1	1	0.05
all	minimal	iCN900	iUMNK88_1353	M_ins_e	0.5	0.03	1	0.015
all	minimal	iCN900	iUMNK88_1353	M_lac__L_e	0.5	0.06	1	0.03
all	minimal	iCN900	iUMNK88_1353	M_leu__L_e	0.5	1.0	1	0.5
all	minimal	iCN900	iUMNK88_1353	M_lys__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_mal__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_nh4_e	0.5	0.09	1	0.045
all	minimal	iCN900	iUMNK88_1353	M_pi_e	0.5	0.21	1	0.105
all	minimal	iCN900	iUMNK88_1353	M_ser__L_e	0.5	0.02	1	0.01
all	minimal	iCN900	iUMNK88_1353	M_thr__L_e	0.5	0.16	1	0.08
all	minimal	iCN900	iUMNK88_1353	M_trp__L_e	0.5	1.0	1	0.5
all	minimal	iCN900	iUMNK88_1353	M_uri_e	0.5	0.09	1	0.045
all	minimal	iCN900	iUMNK88_1353	M_val__L_e	0.5	1.0	1	0.5
all	minimal	iEcSMS35_1347	iNRG857_1313	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iEcSMS35_1347	iNRG857_1313	M_gthrd_e	0.5	1.0	1	0.5
all	minimal	iEcSMS35_1347	iYL1228	M_fe3_e	1.0	1.0	1	1.0
all	minimal	iEcSMS35_1347	iYL1228	M_gthrd_e	1.0	1.0	1	1.0
all	minimal	iEcSMS35_1347	iYL1228	M_o2_e	1.0	1.0	1	1.0
all	minimal	iEcSMS35_1347	iUMNK88_1353	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iEcSMS35_1347	iUMNK88_1353	M_gthrd_e	0.5	1.0	1	0.5
all	minimal	iSDY_1059	iNRG857_1313	M_cu2_e	0.5	0.06	1	0.03
all	minimal	iSDY_1059	iNRG857_1313	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iSDY_1059	iNRG857_1313	M_glyc3p_e	0.5	0.06	1	0.03
all	minimal	iSDY_1059	iNRG857_1313	M_gthrd_e	0.5	1.0	1	0.5
all	minimal	iSDY_1059	iNRG857_1313	M_pi_e	0.5	0.94	1	0.47
all	minimal	iSDY_1059	iNRG857_1313	M_xtsn_e	0.5	0.94	1	0.47
all	minimal	iSDY_1059	iYL1228	M_cu2_e	1.0	0.06	1	0.06
all	minimal	iSDY_1059	iYL1228	M_fe3_e	1.0	1.0	1	1.0
all	minimal	iSDY_1059	iYL1228	M_glyc3p_e	1.0	0.06	1	0.06
all	minimal	iSDY_1059	iYL1228	M_gthrd_e	1.0	1.0	1	1.0
all	minimal	iSDY_1059	iYL1228	M_o2_e	1.0	1.0	1	1.0
all	minimal	iSDY_1059	iYL1228	M_pi_e	1.0	0.94	1	0.94
